file_name,dtype_ok,ndim_ok,has_nan,has_inf,shape,n_channels,n_samples,file_size_bytes,valid,dataset_key
subject101_pretrain_000.npz,True,True,False,False,"(6, 200)",6,200,4657,True,pamap2
subject101_pretrain_001.npz,True,True,False,False,"(6, 200)",6,200,4629,True,pamap2
subject101_pretrain_002.npz,True,True,False,False,"(6, 200)",6,200,4652,True,pamap2
subject101_pretrain_003.npz,True,True,False,False,"(6, 200)",6,200,4716,True,pamap2
subject101_pretrain_004.npz,True,True,False,False,"(6, 200)",6,200,4695,True,pamap2
subject101_pretrain_005.npz,True,True,False,False,"(6, 200)",6,200,4655,True,pamap2
subject101_pretrain_006.npz,True,True,False,False,"(6, 200)",6,200,4655,True,pamap2
subject101_pretrain_007.npz,True,True,False,False,"(6, 200)",6,200,4676,True,pamap2
subject101_pretrain_008.npz,True,True,False,False,"(6, 200)",6,200,4672,True,pamap2
subject101_pretrain_009.npz,True,True,False,False,"(6, 200)",6,200,4671,True,pamap2
subject101_pretrain_010.npz,True,True,False,False,"(6, 200)",6,200,4668,True,pamap2
subject101_pretrain_011.npz,True,True,False,False,"(6, 200)",6,200,4672,True,pamap2
subject101_pretrain_012.npz,True,True,False,False,"(6, 200)",6,200,4677,True,pamap2
subject101_pretrain_013.npz,True,True,False,False,"(6, 200)",6,200,4693,True,pamap2
subject101_pretrain_014.npz,True,True,False,False,"(6, 200)",6,200,4710,True,pamap2
subject101_pretrain_015.npz,True,True,False,False,"(6, 200)",6,200,4685,True,pamap2
subject101_pretrain_016.npz,True,True,False,False,"(6, 200)",6,200,4644,True,pamap2
subject101_pretrain_017.npz,True,True,False,False,"(6, 200)",6,200,4654,True,pamap2
subject101_pretrain_018.npz,True,True,False,False,"(6, 200)",6,200,4704,True,pamap2
subject101_pretrain_019.npz,True,True,False,False,"(6, 200)",6,200,4713,True,pamap2
subject101_pretrain_020.npz,True,True,False,False,"(6, 200)",6,200,4644,True,pamap2
subject101_pretrain_021.npz,True,True,False,False,"(6, 200)",6,200,4613,True,pamap2
subject101_pretrain_022.npz,True,True,False,False,"(6, 200)",6,200,4616,True,pamap2
subject101_pretrain_023.npz,True,True,False,False,"(6, 200)",6,200,4631,True,pamap2
subject101_pretrain_024.npz,True,True,False,False,"(6, 200)",6,200,4629,True,pamap2
subject101_pretrain_025.npz,True,True,False,False,"(6, 200)",6,200,4632,True,pamap2
subject101_pretrain_026.npz,True,True,False,False,"(6, 200)",6,200,4623,True,pamap2
subject101_pretrain_027.npz,True,True,False,False,"(6, 200)",6,200,4628,True,pamap2
subject101_pretrain_028.npz,True,True,False,False,"(6, 200)",6,200,4630,True,pamap2
subject101_pretrain_029.npz,True,True,False,False,"(6, 200)",6,200,4726,True,pamap2
subject101_pretrain_030.npz,True,True,False,False,"(6, 200)",6,200,4667,True,pamap2
subject101_pretrain_031.npz,True,True,False,False,"(6, 200)",6,200,4739,True,pamap2
subject101_pretrain_032.npz,True,True,False,False,"(6, 200)",6,200,4742,True,pamap2
subject101_pretrain_033.npz,True,True,False,False,"(6, 200)",6,200,4734,True,pamap2
subject101_pretrain_034.npz,True,True,False,False,"(6, 200)",6,200,4722,True,pamap2
subject101_pretrain_035.npz,True,True,False,False,"(6, 200)",6,200,4682,True,pamap2
subject101_pretrain_036.npz,True,True,False,False,"(6, 200)",6,200,4669,True,pamap2
subject101_pretrain_037.npz,True,True,False,False,"(6, 200)",6,200,4700,True,pamap2
subject101_pretrain_038.npz,True,True,False,False,"(6, 200)",6,200,4700,True,pamap2
subject101_pretrain_039.npz,True,True,False,False,"(6, 200)",6,200,4662,True,pamap2
subject101_pretrain_040.npz,True,True,False,False,"(6, 200)",6,200,4650,True,pamap2
subject101_pretrain_041.npz,True,True,False,False,"(6, 200)",6,200,4652,True,pamap2
subject101_pretrain_042.npz,True,True,False,False,"(6, 200)",6,200,4635,True,pamap2
subject101_pretrain_043.npz,True,True,False,False,"(6, 200)",6,200,4645,True,pamap2
subject101_pretrain_044.npz,True,True,False,False,"(6, 200)",6,200,4658,True,pamap2
subject101_pretrain_045.npz,True,True,False,False,"(6, 200)",6,200,4676,True,pamap2
subject101_pretrain_046.npz,True,True,False,False,"(6, 200)",6,200,4686,True,pamap2
subject101_pretrain_047.npz,True,True,False,False,"(6, 200)",6,200,4645,True,pamap2
subject101_pretrain_048.npz,True,True,False,False,"(6, 200)",6,200,4654,True,pamap2
subject101_pretrain_049.npz,True,True,False,False,"(6, 200)",6,200,4657,True,pamap2
subject101_supervised_000.npz,True,True,False,False,"(6, 100)",6,100,2473,True,pamap2
subject101_supervised_001.npz,True,True,False,False,"(6, 100)",6,100,2474,True,pamap2
subject101_supervised_002.npz,True,True,False,False,"(6, 100)",6,100,2500,True,pamap2
subject101_supervised_003.npz,True,True,False,False,"(6, 100)",6,100,2501,True,pamap2
subject101_supervised_004.npz,True,True,False,False,"(6, 100)",6,100,2481,True,pamap2
subject101_supervised_005.npz,True,True,False,False,"(6, 100)",6,100,2483,True,pamap2
subject101_supervised_006.npz,True,True,False,False,"(6, 100)",6,100,2487,True,pamap2
subject101_supervised_007.npz,True,True,False,False,"(6, 100)",6,100,2488,True,pamap2
